Project|ID|Name|Status|Power State|Networks|Flavor Name|Host|CPU|RAM
kubernetes|b594fa59-8cbe-4ad9-a06b-9993291f58dc|POC-Openstack-ODC-Firewall-Workstation-VM2|SHUTOFF|Shutdown|Prod_Network=172.28.216.171|n2-standard-2-1s|odc-r08-oscompute-17|2|8G
kubernetes|344d7940-d26e-4b38-b910-7f7eac9fdebb|POC-Openstack-ODC-Firewall-Workstation-VM1|ACTIVE|Running|Prod_Network=172.28.216.49|n2-standard-2-1s|odc-r06-oscompute-39|2|8G
kubernetes|196a7b4b-3f77-4d82-be9c-6c40e148fa6f|POC-Openstack-ODC-Firewall-Fortigate-VM-Tenant-Zone-B|ACTIVE|Running|Prod_Network=172.28.217.86|n2-standard-2-1s|odc-r06-oscompute-39|2|8G
kubernetes|91fde735-e072-43e0-a4b7-bcb689939e65|POC-Openstack-ODC-Firewall-Fortigate-VM-Tenant-Zone-A2|ACTIVE|Running|Prod_Network=172.28.217.11|n2-standard-2-1s|odc-r06-oscompute-39|2|8G
kubernetes|8a8e017c-859f-496f-ba53-f5a0e1ba30ad|POC-Openstack-ODC-Firewall-Fortigate-VM-Tenant-Zone-A1|ACTIVE|Running|Prod_Network=172.28.217.101|n2-standard-2-1s|odc-r07-oscompute-29|2|8G
kubernetes|2589f585-ad15-440f-8a3d-62bf11d3c174|POC-Openstak-ODC-Firewall-Fortigate-VM-Service-Tenant|ACTIVE|Running|Prod_Network=172.28.217.74|n2-standard-2-1s|odc-r09-oscompute-06|2|8G
ddb|d3c7f9b5-e21c-444a-b51e-c89188ea3b80|website-BRI-NFS-odc-02|ACTIVE|Running|Prod_Network=172.28.216.243; website-bri-1-net=10.40.27.52|c2-standard-2-1s|odc-r06-oscompute-39|2|4G
admin|386e6a0f-96ef-4e4c-a4a9-1cd78eadbee7|riset  upgrade os|ACTIVE|Running|admin-net-prod=192.168.100.66|n2-highcpu-4-1s|odc-r07-oscompute-28|4|4G
ddb|47814129-2bb1-40fa-86c0-41b3184e6b96|devops-backup-barman-prod-odc-1|ACTIVE|Running|Prod_Network=172.28.217.82; devops-backend-01=10.40.1.51|c2-standard-4-1s|odc-r07-oscompute-27|4|8G
ddb-staging|608a1c56-8562-4f28-a86c-8bfe8e2ae73b|devops-backup-barman-staging-odc-1|ACTIVE|Running|Prod_Network=172.28.221.234; net-staging-devops=10.30.4.238|c2-standard-4-1s|odc-r09-oscompute-09|4|8G
ddb|64c915b7-d9f8-4e1f-90be-8dcd22b66881|ceria-merchant-dashboard-db-postgres-1|ACTIVE|Running|ceria-database-1=10.40.8.152, 172.28.216.218|c2-standard-4-1s|odc-r06-oscompute-40|4|8G
ddb|041c5220-07b6-467d-95fe-a4a00224bff3|brimola-mysql-db-report-prd-new|ACTIVE|Running|Prod_Network=172.28.217.21; brimola-db-net-01=10.40.30.33|db-brimola-24-24|odc-r08-oscompute-19|24|24G
ddb|ad54c170-e85a-47cb-bd19-c8d06d0a3671|briapi-lb-edb-prod-odc-2|ACTIVE|Running|Briapi-DB-Net-01=10.40.5.169; Prod_Network=172.28.216.182|c2-standard-8-1s|odc-r06-oscompute-43|8|16G
ddb-staging|1875a8eb-44ff-4389-b84b-7494805d87a7|briapi-lb-edb-staging-odc-1|ACTIVE|Running|Prod_Network=172.28.221.45; net-staging-01-briapi-backend-01=10.30.3.78|c2-standard-8-1s|odc-r08-oscompute-20|8|16G
ddb-staging|248d81ac-5c09-493d-889c-f0e2821562d5|briapi-lb-edb-staging-odc-2|ACTIVE|Running|Prod_Network=172.28.221.12; net-staging-01-briapi-backend-01=10.30.3.96|c2-standard-8-1s|odc-r09-oscompute-07|8|16G
